candidate_id,rank,score,reasoning
CAND_0039754,1,0.7491,Senior Applied Scientist with 16.2 yrs exp; technical profile alignment matches 66.3%.
CAND_0051615,2,0.7366,Search Engineer with 4.6 yrs exp; technical profile alignment matches 63.6%.
CAND_0018722,3,0.7313,Recommendation Systems Engineer with 6.6 yrs exp; technical profile alignment matches 62.8%.
CAND_0002025,4,0.7273,Senior AI Engineer with 5.9 yrs exp; technical profile alignment matches 62.2%.
CAND_0099806,5,0.7262,AI Engineer with 4.6 yrs exp; technical profile alignment matches 62.6%.
CAND_0039383,6,0.7255,Applied ML Engineer with 7.1 yrs exp; technical profile alignment matches 60.2%.
CAND_0077337,7,0.7254,Staff Machine Learning Engineer with 7.0 yrs exp; technical profile alignment matches 62.4%.
CAND_0071974,8,0.7235,Senior AI Engineer with 7.8 yrs exp; technical profile alignment matches 61.8%.
CAND_0084819,9,0.7234,Search Engineer with 4.5 yrs exp; technical profile alignment matches 62.6%.
CAND_0079387,10,0.7215,AI Engineer with 6.9 yrs exp; technical profile alignment matches 61.9%.
CAND_0074735,11,0.7214,Applied ML Engineer with 5.5 yrs exp; technical profile alignment matches 59.2%.
CAND_0088025,12,0.7209,Staff Machine Learning Engineer with 8.6 yrs exp; technical profile alignment matches 60.5%.
CAND_0014440,13,0.7208,Recommendation Systems Engineer with 6.4 yrs exp; technical profile alignment matches 63.1%.
CAND_0041669,14,0.7207,Recommendation Systems Engineer with 8.0 yrs exp; technical profile alignment matches 61.1%.
CAND_0055992,15,0.7198,AI Engineer with 16.9 yrs exp; technical profile alignment matches 62.4%.
CAND_0008425,16,0.7196,Senior NLP Engineer with 7.8 yrs exp; technical profile alignment matches 67.0%.
CAND_0046064,17,0.7192,Senior NLP Engineer with 8.9 yrs exp; technical profile alignment matches 63.2%.
CAND_0011162,18,0.7187,Recommendation Systems Engineer with 5.8 yrs exp; technical profile alignment matches 65.2%.
CAND_0041610,19,0.7154,Recommendation Systems Engineer with 6.7 yrs exp; technical profile alignment matches 64.7%.
